instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
297,24/10/2011,4,0,10,0,1,1,1,19,22.85,77.21,7.96,699,3488,4187
298,25/10/2011,4,0,10,0,2,1,1,19.34,23.17,62.29,11.17,695,3992,4687
299,26/10/2011,4,0,10,0,3,1,2,19.85,23.64,72.04,9.96,404,3490,3894
300,27/10/2011,4,0,10,0,4,1,2,19.27,22.85,81.29,13.25,240,2419,2659
301,28/10/2011,4,0,10,0,5,1,2,13.56,15.94,58.58,15.38,456,3291,3747
302,29/10/2011,4,0,10,0,6,0,3,10.42,11.4,88.25,23.54,57,570,627
303,30/10/2011,4,0,10,0,0,0,1,13.09,16.07,62.38,11.83,885,2446,3331
304,31/10/2011,4,0,10,0,1,1,1,13.94,17.8,70.33,7.13,362,3307,3669
305,01/11/2011,4,0,11,0,2,1,1,16.43,19.85,68.38,9.08,410,3658,4068
306,02/11/2011,4,0,11,0,3,1,1,15.48,19.51,71.88,5.5,370,3816,4186
307,03/11/2011,4,0,11,0,4,1,1,16.74,20.3,70.21,9.17,318,3656,3974
308,04/11/2011,4,0,11,0,5,1,2,16.54,20.17,62.25,18.21,470,3576,4046
309,05/11/2011,4,0,11,0,6,0,1,13.39,16.19,51.92,12.67,1156,2770,3926
310,06/11/2011,4,0,11,0,0,0,1,14.28,18.12,73.46,6.17,952,2697,3649
311,07/11/2011,4,0,11,0,1,1,1,16.2,20.04,75.88,3.83,373,3662,4035
312,08/11/2011,4,0,11,0,2,1,1,16.74,20.61,72.17,4.63,376,3829,4205
313,09/11/2011,4,0,11,0,3,1,1,16.4,20.45,75.83,4.17,305,3804,4109
314,10/11/2011,4,0,11,0,4,1,2,15.58,18.69,81.33,12.67,190,2743,2933
315,11/11/2011,4,0,11,1,5,0,1,13.29,15.34,44.63,21.08,440,2928,3368
316,12/11/2011,4,0,11,0,6,0,1,14.62,17.9,55.29,14.21,1275,2792,4067
317,13/11/2011,4,0,11,0,0,0,1,18.07,21.53,45.83,18.88,1004,2713,3717
318,14/11/2011,4,0,11,0,1,1,1,21.73,26.23,58.71,20.54,595,3891,4486
319,15/11/2011,4,0,11,0,2,1,2,21.73,25.38,68.88,13.38,449,3746,4195
320,16/11/2011,4,0,11,0,3,1,3,18.72,22.6,93,9.17,145,1672,1817
321,17/11/2011,4,0,11,0,4,1,2,14.01,16.16,57.58,20.46,139,2914,3053
322,18/11/2011,4,0,11,0,5,1,1,11.24,13.64,41,11.29,245,3147,3392
323,19/11/2011,4,0,11,0,6,0,1,13.5,16.22,50.21,15.04,943,2720,3663
324,20/11/2011,4,0,11,0,0,0,2,19,22.85,68.46,12.46,787,2733,3520
325,21/11/2011,4,0,11,0,1,1,3,18.35,22.25,91,9.25,220,2545,2765
326,22/11/2011,4,0,11,0,2,1,3,17.08,21.08,96.25,7.96,69,1538,1607
327,23/11/2011,4,0,11,0,3,1,2,18.07,21.53,75.79,22.5,112,2454,2566
328,24/11/2011,4,0,11,1,4,0,1,15.31,18.62,54.92,11.21,560,935,1495
329,25/11/2011,4,0,11,0,5,1,1,15.38,19.03,64.38,6.63,1095,1697,2792
330,26/11/2011,4,0,11,0,6,0,1,15.41,19.25,68.17,4.58,1249,1819,3068
331,27/11/2011,4,0,11,0,0,0,1,18.83,22.79,69.83,14,810,2261,3071
332,28/11/2011,4,0,11,0,1,1,1,20.64,24.51,74.3,9.52,253,3614,3867
333,29/11/2011,4,0,11,0,2,1,2,18.79,22.57,83.08,17.29,96,2818,2914
334,30/11/2011,4,0,11,0,3,1,1,13.33,15.56,61.33,18.17,188,3425,3613
335,01/12/2011,4,0,12,0,4,1,1,12.81,15.28,52.46,14.75,182,3545,3727
336,02/12/2011,4,0,12,0,5,1,1,12.88,16.57,62.58,6.75,268,3672,3940
337,03/12/2011,4,0,12,0,6,0,1,12.27,15.53,61.29,6.42,706,2908,3614
338,04/12/2011,4,0,12,0,0,0,1,13.56,17.46,77.58,5.63,634,2851,3485
339,05/12/2011,4,0,12,0,1,1,2,15.82,19.7,82.71,4.17,233,3578,3811
340,06/12/2011,4,0,12,0,2,1,3,18.96,22.82,94.96,15.58,126,2468,2594
341,07/12/2011,4,0,12,0,3,1,3,16.81,20.01,97.04,17.83,50,655,705
342,08/12/2011,4,0,12,0,4,1,1,10.9,12.85,58,16.08,150,3172,3322
343,09/12/2011,4,0,12,0,5,1,1,11.92,15.88,69.58,5.54,261,3359,3620
344,10/12/2011,4,0,12,0,6,0,1,11.28,13.32,50.75,15.63,502,2688,3190
345,11/12/2011,4,0,12,0,0,0,1,9.05,12.66,49,4.46,377,2366,2743
346,12/12/2011,4,0,12,0,1,1,1,9.77,13.51,67.08,4.25,143,3167,3310
347,13/12/2011,4,0,12,0,2,1,1,11.58,15.06,59,9.42,155,3368,3523
348,14/12/2011,4,0,12,0,3,1,2,13.02,16.92,66.38,4.08,178,3562,3740
349,15/12/2011,4,0,12,0,4,1,2,17.32,20.61,63.42,17.96,181,3528,3709
350,16/12/2011,4,0,12,0,5,1,2,15.38,17.99,50.04,17.46,178,3399,3577
351,17/12/2011,4,0,12,0,6,0,2,10.59,12.47,56.08,16.29,275,2464,2739
352,18/12/2011,4,0,12,0,0,0,1,9.77,12.28,58.63,11.38,220,2211,2431
353,19/12/2011,4,0,12,0,1,1,1,11.34,14.05,63.75,11.58,260,3143,3403
354,20/12/2011,4,0,12,0,2,1,2,15.82,19.82,59.54,4.13,216,3534,3750
355,21/12/2011,1,0,12,0,3,1,2,17.56,21.4,85.83,14.83,107,2553,2660
356,22/12/2011,1,0,12,0,4,1,2,17.36,21.31,75.75,3.17,227,2841,3068
357,23/12/2011,1,0,12,0,5,1,1,15.31,18.88,68.63,18.37,163,2046,2209
358,24/12/2011,1,0,12,0,6,0,1,12.4,14.96,54.25,12.75,155,856,1011
359,25/12/2011,1,0,12,0,0,0,1,11.27,14,68.13,10.39,303,451,754
360,26/12/2011,1,0,12,1,1,0,1,13.19,15.78,50.7,16.04,430,887,1317
361,27/12/2011,1,0,12,0,2,1,2,13.33,16.38,76.25,12.63,103,1059,1162
362,28/12/2011,1,0,12,0,3,1,1,12.26,14,50.39,19.7,255,2047,2302
363,29/12/2011,1,0,12,0,4,1,1,10.18,13.19,57.42,8,254,2169,2423
364,30/12/2011,1,0,12,0,5,1,1,12.78,15.94,63.67,9,491,2508,2999
365,31/12/2011,1,0,12,0,6,0,1,16.81,20.71,61.58,14.75,665,1820,2485
366,01/01/2012,1,1,1,0,0,0,1,15.17,18.78,69.25,12.88,686,1608,2294
367,02/01/2012,1,1,1,1,1,0,1,11.19,12.62,38.13,22.09,244,1707,1951
368,03/01/2012,1,1,1,0,2,1,1,6.15,6.31,44.13,24.5,89,2147,2236
369,04/01/2012,1,1,1,0,3,1,2,4.41,5.97,41.46,12.37,95,2273,2368
370,05/01/2012,1,1,1,0,4,1,1,10.9,13.92,52.42,8.71,140,3132,3272
371,06/01/2012,1,1,1,0,5,1,1,13.7,17.01,54.21,11.25,307,3791,4098
372,07/01/2012,1,1,1,0,6,0,1,16.13,19.54,53.17,11.71,1070,3451,4521
373,08/01/2012,1,1,1,0,0,0,1,13.84,17.01,46.5,12.83,599,2826,3425
374,09/01/2012,1,1,1,0,1,1,2,9.19,12.37,70.17,6.63,106,2270,2376
375,10/01/2012,1,1,1,0,2,1,1,12.66,15.94,64.65,12.57,173,3425,3598
376,11/01/2012,1,1,1,0,3,1,2,11.24,14.14,84.75,8.79,92,2085,2177
377,12/01/2012,1,1,1,0,4,1,2,15.68,19.1,80.29,12.12,269,3828,4097
378,13/01/2012,1,1,1,0,5,1,1,11.24,12.47,50.75,25.33,174,3040,3214
379,14/01/2012,1,1,1,0,6,0,1,7.38,9.15,45.75,12.54,333,2160,2493
380,15/01/2012,1,1,1,0,0,0,1,6.83,8.08,41.92,16.83,284,2027,2311
381,16/01/2012,1,1,1,1,1,0,1,7.79,9.53,52.25,15.5,217,2081,2298
382,17/01/2012,1,1,1,0,2,1,2,15.29,18.21,71.61,23.39,127,2808,2935
383,18/01/2012,1,1,1,0,3,1,1,12.44,13.76,44.33,27.83,109,3267,3376
384,19/01/2012,1,1,1,0,4,1,1,7.79,9.5,49.75,14.75,130,3162,3292
385,20/01/2012,1,1,1,0,5,1,2,8.92,11.05,45,13.58,115,3048,3163
386,21/01/2012,1,1,1,0,6,0,2,7.11,8.74,83.13,14.92,67,1234,1301
387,22/01/2012,1,1,1,0,0,0,2,6.66,8.11,79.63,13.38,196,1781,1977
388,23/01/2012,1,1,1,0,1,1,2,8.95,12.15,91.13,7.42,145,2287,2432
389,24/01/2012,1,1,1,0,2,1,1,14.04,17.46,83.58,8.29,439,3900,4339
390,25/01/2012,1,1,1,0,3,1,1,12.06,14.74,64.38,10.79,467,3803,4270
391,26/01/2012,1,1,1,0,4,1,2,14.01,17.8,76.96,4.92,244,3831,4075
392,27/01/2012,1,1,1,0,5,1,2,17.43,20.77,74.13,22.96,269,3187,3456
393,28/01/2012,1,1,1,0,6,0,1,12.95,16.32,54.33,14.13,775,3248,4023
394,29/01/2012,1,1,1,0,0,0,1,11.58,13.64,31.13,16.08,558,2685,3243
395,30/01/2012,1,1,1,0,1,1,1,11.04,13.13,40.08,14.46,126,3498,3624
396,31/01/2012,1,1,1,0,2,1,1,15.99,19.07,41.67,17.54,324,4185,4509
397,01/02/2012,1,1,2,0,3,1,1,19.24,23.33,50.79,12.67,304,4275,4579
398,02/02/2012,1,1,2,0,4,1,2,16.37,19.95,67.29,12.54,190,3571,3761
399,03/02/2012,1,1,2,0,5,1,1,12.85,15.47,52.67,11.96,310,3841,4151
400,04/02/2012,1,1,2,0,6,0,2,10.83,13.64,77.96,8.17,384,2448,2832
401,05/02/2012,1,1,2,0,0,0,2,10.9,13.23,68.79,11.79,318,2629,2947
402,06/02/2012,1,1,2,0,1,1,1,11.59,14.82,62.22,10.3,206,3578,3784
403,07/02/2012,1,1,2,0,2,1,1,14.52,18.06,49.63,9.87,199,4176,4375
404,08/02/2012,1,1,2,0,3,1,2,10.52,13.32,72.29,8.96,109,2693,2802
405,09/02/2012,1,1,2,0,4,1,1,10.87,13.1,56.21,13,163,3667,3830
406,10/02/2012,1,1,2,0,5,1,2,11.51,14.68,54,7.83,227,3604,3831
407,11/02/2012,1,1,2,0,6,0,3,9.19,10.54,73.13,19.42,192,1977,2169
408,12/02/2012,1,1,2,0,0,0,1,5.23,5.08,46.46,27.42,73,1456,1529
409,13/02/2012,1,1,2,0,1,1,1,9.12,11.4,41.13,11.21,94,3328,3422
410,14/02/2012,1,1,2,0,2,1,2,13.09,16.7,50.88,9.46,135,3787,3922
411,15/02/2012,1,1,2,0,3,1,1,14.28,17.58,53.13,12.17,141,4028,4169
412,16/02/2012,1,1,2,0,4,1,2,12.98,16.51,75.29,6.13,74,2931,3005
413,17/02/2012,1,1,2,0,5,1,1,14.08,17.58,63.46,13.79,349,3805,4154
414,18/02/2012,1,1,2,0,6,0,1,14.21,17.77,53.46,12.79,1435,2883,4318
415,19/02/2012,1,1,2,0,0,0,2,11.48,13.29,51.58,16.96,618,2071,2689
416,20/02/2012,1,1,2,1,1,0,1,11.48,13.67,50.78,15.35,502,2627,3129
417,21/02/2012,1,1,2,0,2,1,1,11.8,14.76,59.43,13.78,163,3614,3777
418,22/02/2012,1,1,2,0,3,1,1,16.23,19.63,56.79,15.71,394,4379,4773
419,23/02/2012,1,1,2,0,4,1,1,18.62,22.22,55.46,12.79,516,4546,5062
420,24/02/2012,1,1,2,0,5,1,2,16.71,20.55,73.75,15.92,246,3241,3487
421,25/02/2012,1,1,2,0,6,0,1,11.92,12.78,39.58,28.25,317,2415,2732
422,26/02/2012,1,1,2,0,0,0,1,11.45,13.42,41,13.75,515,2874,3389
423,27/02/2012,1,1,2,0,1,1,1,15.03,17.9,49.08,17.96,253,4069,4322
424,28/02/2012,1,1,2,0,2,1,1,14.73,17.68,39.58,12.96,229,4134,4363
425,29/02/2012,1,1,2,0,3,1,2,14.12,17.42,80.48,12,65,1769,1834
426,01/03/2012,1,1,3,0,4,1,1,19.92,23.77,61.54,15.21,325,4665,4990
427,02/03/2012,1,1,3,0,5,1,2,14.49,17.99,65.71,9.71,246,2948,3194
428,03/03/2012,1,1,3,0,6,0,2,16.98,20.67,62.13,10.79,956,3110,4066
429,04/03/2012,1,1,3,0,0,0,1,13.36,15.15,40.33,22.42,710,2713,3423
430,05/03/2012,1,1,3,0,1,1,1,9.98,12.06,50.63,15.33,203,3130,3333
431,06/03/2012,1,1,3,0,2,1,1,10.59,12.75,45.67,13.46,221,3735,3956
432,07/03/2012,1,1,3,0,3,1,1,16.57,19.26,51.33,23.17,432,4484,4916
433,08/03/2012,1,1,3,0,4,1,1,21.63,26.23,56.75,29.58,486,4896,5382
434,09/03/2012,1,1,3,0,5,1,2,16.84,19.85,40.71,27.79,447,4122,4569
435,10/03/2012,1,1,3,0,6,0,1,11.79,13.89,35.04,15.13,968,3150,4118
436,11/03/2012,1,1,3,0,0,0,1,14.83,17.98,47.7,14.91,1658,3253,4911
437,12/03/2012,1,1,3,0,1,1,1,19.13,22.98,48.92,13.92,838,4460,5298
438,13/03/2012,1,1,3,0,2,1,1,23.17,27.15,61.75,15.88,762,5085,5847
439,14/03/2012,1,1,3,0,3,1,1,23.47,27.43,50.71,7.71,997,5315,6312
440,15/03/2012,1,1,3,0,4,1,1,22.86,26.64,57.96,10.04,1005,5187,6192
441,16/03/2012,1,1,3,0,5,1,2,17.87,21.81,84.21,7.58,548,3830,4378
442,17/03/2012,1,1,3,0,6,0,2,21.08,25.25,75.58,7.42,3155,4681,7836
443,18/03/2012,1,1,3,0,0,0,2,19.37,23.2,81,8.5,2207,3685,5892
444,19/03/2012,1,1,3,0,1,1,1,22.35,26.64,72.88,10.88,982,5171,6153
445,20/03/2012,1,1,3,0,2,1,1,22.99,26.93,80.79,8.13,1051,5042,6093
446,21/03/2012,2,1,3,0,3,1,2,21.8,25.66,82.13,6,1122,5108,6230
447,22/03/2012,2,1,3,0,4,1,1,22.72,26.58,83.13,7.88,1334,5537,6871
448,23/03/2012,2,1,3,0,5,1,2,24.67,28.5,69.42,7.79,2469,5893,8362
449,24/03/2012,2,1,3,0,6,0,2,20.6,24.34,88.54,12.92,1033,2339,3372
450,25/03/2012,2,1,3,0,0,0,2,17.94,21.87,88.08,14.79,1532,3464,4996
451,26/03/2012,2,1,3,0,1,1,1,18.28,21.94,47.79,25.92,795,4763,5558
452,27/03/2012,2,1,3,0,2,1,1,13.26,15.78,29,12.54,531,4571,5102
453,28/03/2012,2,1,3,0,3,1,1,19.85,23.55,48.13,19.54,674,5024,5698
454,29/03/2012,2,1,3,0,4,1,1,20.26,24.12,43.92,21.42,834,5299,6133
455,30/03/2012,2,1,3,0,5,1,2,15.17,18.78,58.08,9.25,796,4663,5459
456,31/03/2012,2,1,3,0,6,0,2,17.39,21.09,73.83,16.79,2301,3934,6235
457,01/04/2012,2,1,4,0,0,0,2,17.46,20.86,67.63,11.54,2347,3694,6041
458,02/04/2012,2,1,4,0,1,1,1,17.79,21.38,50.43,20.91,1208,4728,5936
459,03/04/2012,2,1,4,0,2,1,1,19.13,23.07,39.67,6.71,1348,5424,6772
460,04/04/2012,2,1,4,0,3,1,1,22.21,26.67,46.96,12.13,1058,5378,6436
461,05/04/2012,2,1,4,0,4,1,1,17.84,21.56,37.42,14.71,1192,5265,6457
462,06/04/2012,2,1,4,0,5,1,1,16.54,19.54,37.71,20.13,1807,4653,6460
463,07/04/2012,2,1,4,0,6,0,1,17.94,21.31,25.42,18.42,3252,3605,6857
464,08/04/2012,2,1,4,0,0,0,1,20.5,24.62,27.58,15.58,2230,2939,5169
465,09/04/2012,2,1,4,0,1,1,1,20.06,23.83,31.75,24,905,4680,5585
466,10/04/2012,2,1,4,0,2,1,1,18.31,21.81,43.5,16.71,819,5099,5918
467,11/04/2012,2,1,4,0,3,1,1,14.3,16.86,46.96,19.78,482,4380,4862
468,12/04/2012,2,1,4,0,4,1,1,16.3,19.38,46.63,19.46,663,4746,5409
469,13/04/2012,2,1,4,0,5,1,1,18.14,21.59,40.83,10.42,1252,5146,6398
470,14/04/2012,2,1,4,0,6,0,1,20.3,24.4,50.29,12.79,2795,4665,7460
471,15/04/2012,2,1,4,0,0,0,1,24.87,28.69,50.79,15.08,2846,4286,7132
472,16/04/2012,2,1,4,1,1,0,1,27.23,30.75,56.17,19.08,1198,5172,6370
473,17/04/2012,2,1,4,0,2,1,1,24.94,29.92,39.04,18.33,989,5702,6691
474,18/04/2012,2,1,4,0,3,1,2,19,22.85,56.92,11.25,347,4020,4367
475,19/04/2012,2,1,4,0,4,1,1,20.43,24.65,61.25,4.42,846,5719,6565
476,20/04/2012,2,1,4,0,5,1,1,21.59,25.79,69.46,10.04,1340,5950,7290
477,21/04/2012,2,1,4,0,6,0,1,23.37,27.15,68.29,19,2541,4083,6624
478,22/04/2012,2,1,4,0,0,0,3,16.26,19.48,83.54,23.08,120,907,1027
479,23/04/2012,2,1,4,0,1,1,2,13.19,15.06,76.67,20.33,195,3019,3214
480,24/04/2012,2,1,4,0,2,1,1,16.95,20.26,45.42,16.71,518,5115,5633
481,25/04/2012,2,1,4,0,3,1,1,19.54,23.52,42.79,7.96,655,5541,6196
482,26/04/2012,2,1,4,0,4,1,2,20.43,24.18,75.67,11.83,475,4551,5026
483,27/04/2012,2,1,4,0,5,1,1,18.76,22.63,40.08,23.29,1014,5219,6233
484,28/04/2012,2,1,4,0,6,0,2,15.44,18.88,48.96,8.71,1120,3100,4220
485,29/04/2012,2,1,4,0,0,0,1,18.79,22.51,58.71,7.83,2229,4075,6304
486,30/04/2012,2,1,4,0,1,1,2,19.03,22.88,57,11.5,665,4907,5572
487,01/05/2012,2,1,5,0,2,1,2,25.15,28.85,65.96,10.46,653,5087,5740
488,02/05/2012,2,1,5,0,3,1,1,23.13,26.89,79.71,9.25,667,5502,6169
489,03/05/2012,2,1,5,0,4,1,2,22.96,26.86,76.83,8.96,764,5657,6421
490,04/05/2012,2,1,5,0,5,1,1,25.73,29.55,73.54,10.92,1069,5227,6296
491,05/05/2012,2,1,5,0,6,0,2,25.49,29.23,75.67,10.25,2496,4387,6883
492,06/05/2012,2,1,5,0,0,0,2,23.06,27.34,74,10.04,2135,4224,6359
493,07/05/2012,2,1,5,0,1,1,2,22.04,26.36,66.42,15.46,1008,5265,6273
494,08/05/2012,2,1,5,0,2,1,2,23.85,27.87,68.58,19.83,738,4990,5728
495,09/05/2012,2,1,5,0,3,1,2,23.58,27.65,74.42,14.5,620,4097,4717
496,10/05/2012,2,1,5,0,4,1,1,20.74,24.59,55.21,21.04,1026,5546,6572
497,11/05/2012,2,1,5,0,5,1,1,21.87,26.04,36.04,15.87,1319,5711,7030
498,12/05/2012,2,1,5,0,6,0,1,23.13,27.24,48.04,8.25,2622,4807,7429
499,13/05/2012,2,1,5,0,0,0,1,25.11,29.26,57.63,15.08,2172,3946,6118
500,14/05/2012,2,1,5,0,1,1,2,23.51,27.5,78.96,14.25,342,2501,2843
501,15/05/2012,2,1,5,0,2,1,2,25.08,28.82,79.46,9.88,625,4490,5115
502,16/05/2012,2,1,5,0,3,1,1,26.1,29.8,69.79,8.21,991,6433,7424
503,17/05/2012,2,1,5,0,4,1,1,24.33,28.63,52,15.37,1242,6142,7384
504,18/05/2012,2,1,5,0,5,1,1,23.13,27.56,52.33,9.17,1521,6118,7639
505,19/05/2012,2,1,5,0,6,0,1,24.6,28.35,45.63,5.63,3410,4884,8294
506,20/05/2012,2,1,5,0,0,0,1,25.45,29.2,53.04,17.04,2704,4425,7129
507,21/05/2012,2,1,5,0,1,1,2,24.53,28.28,81.13,15.62,630,3729,4359
508,22/05/2012,2,1,5,0,2,1,2,25.22,29.04,76.58,7.92,819,5254,6073
509,23/05/2012,2,1,5,0,3,1,2,25.49,29.23,77.46,6.83,766,4494,5260
510,24/05/2012,2,1,5,0,4,1,1,26.86,30.34,71.67,11.58,1059,5711,6770
511,25/05/2012,2,1,5,0,5,1,1,27.88,31.38,74.71,9.42,1417,5317,6734
512,26/05/2012,2,1,5,0,6,0,1,28.39,32.13,73.25,13.33,2855,3681,6536
513,27/05/2012,2,1,5,0,0,0,1,28.29,32.07,69.71,14.42,3283,3308,6591
514,28/05/2012,2,1,5,1,1,0,1,29.21,33.97,67.63,13.17,2557,3486,6043
515,29/05/2012,2,1,5,0,2,1,1,29.62,33.65,68.46,19.79,880,4863,5743
516,30/05/2012,2,1,5,0,3,1,2,26.92,30.56,67,9,745,6110,6855
517,31/05/2012,2,1,5,0,4,1,1,27.88,31.57,49.29,13.08,1100,6238,7338
518,01/06/2012,2,1,6,0,5,1,2,26.82,30.4,75.54,15.92,533,3594,4127
519,02/06/2012,2,1,6,0,6,0,1,23.92,28.31,54.92,12.5,2795,5325,8120
520,03/06/2012,2,1,6,0,0,0,1,24.7,28.76,49.33,12.33,2494,5147,7641
521,04/06/2012,2,1,6,0,1,1,1,24.5,28.91,48.71,19.08,1071,5927,6998
522,05/06/2012,2,1,6,0,2,1,2,22.17,26.29,61.33,14.04,968,6033,7001
523,06/06/2012,2,1,6,0,3,1,1,22.72,27.11,61.13,5.17,1027,6028,7055
524,07/06/2012,2,1,6,0,4,1,1,24.7,28.47,56.71,10.54,1038,6456,7494
525,08/06/2012,2,1,6,0,5,1,1,26.62,29.89,46.79,11.75,1488,6248,7736
526,09/06/2012,2,1,6,0,6,0,1,29.14,32.42,43.71,9.67,2708,4790,7498
527,10/06/2012,2,1,6,0,0,0,1,29.79,33.18,53.83,8.96,2224,4374,6598
528,11/06/2012,2,1,6,0,1,1,2,29.55,32.99,58.79,13.92,1017,5647,6664
529,12/06/2012,2,1,6,0,2,1,2,26.79,29.89,83.33,14.37,477,4495,4972
530,13/06/2012,2,1,6,0,3,1,1,26.89,30.56,58.21,23,1173,6248,7421
531,14/06/2012,2,1,6,0,4,1,1,26.58,31.22,56.96,17,1180,6183,7363
532,15/06/2012,2,1,6,0,5,1,1,26.21,29.99,58.96,11.83,1563,6102,7665
533,16/06/2012,2,1,6,0,6,0,1,25.9,29.74,50.42,11.17,2963,4739,7702
534,17/06/2012,2,1,6,0,0,0,1,24.29,28.6,59.88,9.71,2634,4344,6978
535,18/06/2012,2,1,6,0,1,1,2,23.3,27.24,77.79,11.71,653,4446,5099
536,19/06/2012,2,1,6,0,2,1,1,28.22,32.73,69,9.92,968,5857,6825
537,20/06/2012,2,1,6,0,3,1,1,32.08,36.05,59.21,7.63,872,5339,6211
538,21/06/2012,3,1,6,0,4,1,1,33.04,37.63,56.79,7.96,778,5127,5905
539,22/06/2012,3,1,6,0,5,1,1,31.88,36.21,57.38,12.25,964,4859,5823
540,23/06/2012,3,1,6,0,6,0,1,30,32.64,53.46,12.04,2657,4801,7458
541,24/06/2012,3,1,6,0,0,0,1,30.48,33.71,47.92,9.75,2551,4340,6891
542,25/06/2012,3,1,6,0,1,1,1,29.35,32.7,50.42,20.13,1139,5640,6779
543,26/06/2012,3,1,6,0,2,1,1,25.86,29.74,37.33,23.29,1077,6365,7442
544,27/06/2012,3,1,6,0,3,1,1,28.6,32.04,36,18.21,1077,6258,7335
545,28/06/2012,3,1,6,0,4,1,1,30.72,33.78,42.25,11.5,921,5958,6879
546,29/06/2012,3,1,6,0,5,1,1,34.2,39.33,48.88,11.08,829,4634,5463
547,30/06/2012,3,1,6,0,6,0,1,31.37,34.38,60.13,10.79,1455,4232,5687
548,01/07/2012,3,1,7,0,0,0,1,33.45,37.53,51.88,11.29,1421,4110,5531
549,02/07/2012,3,1,7,0,1,1,1,32.05,35.1,44.71,13.08,904,5323,6227
550,03/07/2012,3,1,7,0,2,1,1,32.01,35.13,49.21,8.46,1052,5608,6660
551,04/07/2012,3,1,7,1,3,0,1,32.36,36.62,53.88,9.04,2562,4841,7403
552,05/07/2012,3,1,7,0,4,1,1,33.93,38.07,45.79,13,1405,4836,6241
553,06/07/2012,3,1,7,0,5,1,1,33.96,37.63,45.08,9.79,1366,4841,6207
554,07/07/2012,3,1,7,0,6,0,1,35.33,40.25,49.21,10.96,1448,3392,4840
555,08/07/2012,3,1,7,0,0,0,1,33.72,39.52,57.38,8.42,1203,3469,4672
556,09/07/2012,3,1,7,0,1,1,2,29.14,32.7,68.33,12.13,998,5571,6569
557,10/07/2012,3,1,7,0,2,1,2,29.55,33.24,66.75,10.17,954,5336,6290
558,11/07/2012,3,1,7,0,3,1,1,29.38,32.51,63.33,10.17,975,6289,7264
559,12/07/2012,3,1,7,0,4,1,1,29.35,32.73,52.96,9.83,1032,6414,7446
560,13/07/2012,3,1,7,0,5,1,2,30,33.4,48.58,5.42,1511,5988,7499
561,14/07/2012,3,1,7,0,6,0,2,28.84,33.3,69.92,9.63,2355,4614,6969
562,15/07/2012,3,1,7,0,0,0,1,30.58,35.26,71.79,11.17,1920,4111,6031
563,16/07/2012,3,1,7,0,1,1,1,31.3,36.21,64.5,11,1088,5742,6830
564,17/07/2012,3,1,7,0,2,1,1,33.55,37.78,50.58,7.67,921,5865,6786
565,18/07/2012,3,1,7,0,3,1,1,32.53,37.28,57.71,9.21,799,4914,5713
566,19/07/2012,3,1,7,0,4,1,1,31.57,35.73,60.04,11.08,888,5703,6591
567,20/07/2012,3,1,7,0,5,1,2,27.3,30.65,84.42,14,747,5123,5870
568,21/07/2012,3,1,7,0,6,0,3,24.43,27.5,86.54,14.29,1264,3195,4459
569,22/07/2012,3,1,7,0,0,0,2,27.37,31.16,76.25,6.29,2544,4866,7410
570,23/07/2012,3,1,7,0,1,1,1,30.41,34.5,69.42,9.29,1135,5831,6966
571,24/07/2012,3,1,7,0,2,1,1,30.78,35.32,65.5,14.17,1140,6452,7592
572,25/07/2012,3,1,7,0,3,1,1,29.69,32.7,45,11.04,1383,6790,8173
573,26/07/2012,3,1,7,0,4,1,1,31.84,36.96,59.67,19.08,1036,5825,6861
574,27/07/2012,3,1,7,0,5,1,1,32.05,36.71,59.46,10.25,1259,5645,6904
575,28/07/2012,3,1,7,0,6,0,1,30.99,34.88,61.33,10.54,2234,4451,6685
576,29/07/2012,3,1,7,0,0,0,1,29.59,33.4,62.38,11.42,2153,4444,6597
577,30/07/2012,3,1,7,0,1,1,1,29.96,34.25,66.88,10.29,1040,6065,7105
578,31/07/2012,3,1,7,0,2,1,1,29.25,33.14,70.42,11.08,968,6248,7216
579,01/08/2012,3,1,8,0,3,1,1,29.42,33.37,67.75,9.46,1074,6506,7580
580,02/08/2012,3,1,8,0,4,1,1,30.85,35.35,65.96,8.67,983,6278,7261
581,03/08/2012,3,1,8,0,5,1,2,31.4,36.14,64.25,14.46,1328,5847,7175
582,04/08/2012,3,1,8,0,6,0,1,32.53,37.56,61.33,17.25,2345,4479,6824
583,05/08/2012,3,1,8,0,0,0,1,31.54,36.55,65.25,19.46,1707,3757,5464
584,06/08/2012,3,1,8,0,1,1,2,30.85,35.51,65.42,8.67,1233,5780,7013
585,07/08/2012,3,1,8,0,2,1,2,30.17,34.88,70.38,7.83,1278,5995,7273
586,08/08/2012,3,1,8,0,3,1,2,30.75,35.39,67.29,7.42,1263,6271,7534
587,09/08/2012,3,1,8,0,4,1,1,30.99,34.98,62.04,10.46,1196,6090,7286
588,10/08/2012,3,1,8,0,5,1,2,29.35,33.4,71.58,16,1065,4721,5786
589,11/08/2012,3,1,8,0,6,0,2,28.39,31.91,73.29,13.83,2247,4052,6299
590,12/08/2012,3,1,8,0,0,0,1,28.73,32.23,53.04,8.21,2182,4362,6544
591,13/08/2012,3,1,8,0,1,1,1,29.55,33.11,54.54,9.13,1207,5676,6883
592,14/08/2012,3,1,8,0,2,1,1,29.79,33.84,68.67,11.33,1128,5656,6784
